"n","m","r1.neh","r1.dong","r1.kk1","r1.kk2","r1.ff","r2.neh","r2.dong","r2.kk1","r2.kk2","r2.ff"
20,5,0.024,0.039,0.041,0.041,0.032,0.032,0.041,0.041,0.032,0.041
20,10,0.043,0.031,0.049,0.057,0.059,0.038,0.042,0.064,0.032,0.046
20,20,0.067,0.042,0.047,0.049,0.057,0.052,0.07,0.066,0.06,0.071
50,5,0.004,0.009,0.016,0.003,0.007,0,0.026,0.01,0.004,0.001
50,10,0.529,0.615,0.692,0.595,0.441,0.549,0.524,0.626,0.584,0.478
50,20,1.044,1.005,1.047,0.978,1.048,1.011,0.94,1.06,1.008,1.012
100,5,0.008,0.056,0.011,0.006,0.006,0.006,0.028,0.006,0.006,0.009
100,10,0.218,0.228,0.31,0.17,0.149,0.173,0.214,0.223,0.184,0.111
100,20,1.423,1.317,1.643,1.449,1.118,1.394,1.145,1.589,1.402,1.245
200,10,0.25,0.397,0.217,0.092,0.093,0.174,0.271,0.188,0.113,0.101
200,20,1.407,1.217,1.819,1.313,1.049,1.407,1.125,1.754,1.401,1.036
500,20,0.72,0.627,0.992,0.602,0.453,0.65,0.519,0.958,0.573,0.473
