"n","m","rand","fcfs","spt","lpt","johns","page","palme","cds","gupta","ra","racs","raes","neh","hunra","hocha","koula","sulim","pour"
20,5,5.79,24.98,20.44,47.66,12.78,15.15,10.58,9.54,12.45,8.86,7.71,4.95,3.35,9.35,6.94,7.68,4.46,12.05
20,10,9.47,28.77,24.74,46.38,19.97,20.43,15.28,12.13,24.48,15.4,10.66,8.62,5.02,13.34,10.51,11.82,7.84,12.34
20,20,7.76,21.43,23.17,34.27,16.47,16.18,16.34,9.64,22.53,16.35,8.16,6.41,3.73,13.47,8.3,11.89,6.69,10.71
50,5,4.74,15.32,16.21,48.33,10.43,10.14,5.34,6.1,12.43,6.3,5.4,3.28,0.84,4.21,3.33,4.03,2.2,6.58
50,10,14,25.05,26.51,51.23,21.9,20.47,14.01,12.98,22.05,15.05,12.19,10.41,5.12,13.35,11.29,12.13,8.46,14.44
50,20,16.31,29.59,29.38,48.08,22.81,23.12,15.99,13.85,23.66,18.88,12.86,10,6.2,14.99,12.4,14.93,9.62,14.87
100,5,3.7,13.63,17.98,45.19,6.84,7.98,2.38,5.01,6.02,3.54,4.58,3.25,0.46,1.99,2.7,3.12,1.28,4.06
100,10,10.31,20.92,24.63,47.27,15.01,15.79,9.2,9.15,15.12,10.48,8.72,7.31,2.13,8.12,7.96,7.5,5.75,7.82
100,20,16.28,25.36,28.93,47.01,21.15,21.68,14.41,13.12,22.68,16.96,12.48,10.56,5.11,13.65,11.1,14.04,9.28,13.18
200,10,8.39,15.67,20.25,45.54,11.47,12.74,5.13,7.38,11.8,6.17,7.11,6.16,1.43,4.5,5.11,5.09,4.09,5.52
200,20,15.32,22.1,25.94,51.1,18.93,19.43,13.17,12.08,19.67,12.67,11.83,10.39,4.37,12.59,9.99,11.6,8.85,11.5
500,20,11.45,15.99,23.04,48.01,14.07,14.05,7.09,8.55,13.66,8.34,8.38,7.77,2.24,6.75,7.14,6.82,6.06,7.69
