"name","construction_value","construction_time_ms"
"ta001",1286,1
"ta002",1365,1
"ta003",1132,1
"ta004",1325,1
"ta005",1305,1
"ta006",1228,1
"ta007",1251,1
"ta008",1215,1
"ta009",1284,1
"ta010",1127,1
"ta011",1680,1
"ta012",1729,1
"ta013",1557,1
"ta014",1416,1
"ta015",1502,1
"ta016",1453,1
"ta017",1531,1
"ta018",1609,1
"ta019",1639,1
"ta020",1653,1
"ta021",2410,2
"ta022",2134,2
"ta023",2411,2
"ta024",2257,2
"ta025",2370,2
"ta026",2349,2
"ta027",2362,2
"ta028",2249,2
"ta029",2306,2
"ta030",2257,2
"ta031",2729,2
"ta032",2843,2
"ta033",2640,2
"ta034",2782,2
"ta035",2868,2
"ta036",2835,2
"ta037",2758,2
"ta038",2700,2
"ta039",2576,2
"ta040",2790,2
"ta041",3135,3
"ta042",3032,3
"ta043",2986,3
"ta044",3198,3
"ta045",3160,3
"ta046",3148,3
"ta047",3277,3
"ta048",3123,3
"ta049",3002,3
"ta050",3257,2
"ta051",4006,4
"ta052",3921,4
"ta053",3866,4
"ta054",3953,4
"ta055",3835,3
"ta056",3861,3
"ta057",3927,3
"ta058",3914,3
"ta059",3952,3
"ta060",4036,3
"ta061",5514,2
"ta062",5284,2
"ta063",5219,2
"ta064",5023,2
"ta065",5261,2
"ta066",5139,2
"ta067",5259,2
"ta068",5120,2
"ta069",5489,2
"ta070",5336,2
"ta071",5846,3
"ta072",5453,3
"ta073",5747,3
"ta074",5924,3
"ta075",5672,3
"ta076",5375,3
"ta077",5704,3
"ta078",5752,3
"ta079",6016,3
"ta080",5918,3
"ta081",6520,6
"ta082",6523,6
"ta083",6621,6
"ta084",6557,6
"ta085",6695,6
"ta086",6664,6
"ta087",6578,6
"ta088",6739,6
"ta089",6677,6
"ta090",6677,6
"ta091",10942,9
"ta092",10677,9
"ta093",11025,9
"ta094",11057,9
"ta095",10615,9
"ta096",10458,9
"ta097",10950,9
"ta098",10829,9
"ta099",10565,9
"ta100",10807,9
"ta101",11594,18
"ta102",11675,18
"ta103",11724,18
"ta104",11796,18
"ta105",11670,18
"ta106",11629,18
"ta107",11833,18
"ta108",11824,18
"ta109",11673,18
"ta110",11869,18
"ta111",26670,91
"ta112",27215,91
"ta113",26848,91
"ta114",26928,91
"ta115",26727,91
"ta116",26992,91
"ta117",26797,91
"ta118",27138,91
"ta119",26541,91
"ta120",26984,91
